time,open,close,low,high,volume
1741895700,80323.25000000,80211.40000000,80137.47000000,80461.95000000,185.55751000
1741896000,80210.40000000,80500.63000000,80189.89000000,80579.01000000,95.46098000
1741896300,80500.62000000,80412.50000000,80296.51000000,80513.88000000,51.22443000
1741896600,80412.50000000,80424.62000000,80308.82000000,80435.93000000,30.30256000
1741896900,80424.62000000,80638.58000000,80424.62000000,80674.03000000,88.98779000
1741897200,80638.59000000,80571.12000000,80514.83000000,80681.81000000,43.01663000
1741897500,80571.12000000,80663.73000000,80539.02000000,80681.17000000,49.90140000
1741897800,80663.73000000,80613.28000000,80613.27000000,80735.83000000,83.60086000
1741898100,80613.28000000,80656.12000000,80596.82000000,80674.75000000,35.21345000
1741898400,80656.11000000,80383.42000000,80383.42000000,80698.12000000,60.28965000
1741898700,80383.43000000,80302.03000000,80280.89000000,80422.82000000,99.45669000
1741899000,80302.03000000,80340.57000000,80279.63000000,80357.98000000,55.70741000
1741899300,80340.56000000,80379.05000000,80317.21000000,80460.00000000,77.46957000
1741899600,80379.05000000,80375.73000000,80280.66000000,80401.65000000,52.95111000
1741899900,80375.73000000,80518.40000000,80367.92000000,80578.56000000,137.25762000
1741900200,80518.41000000,80453.57000000,80453.56000000,80523.05000000,44.08251000
1741900500,80453.56000000,80491.60000000,80400.86000000,80575.60000000,57.15555000
1741900800,80491.61000000,80600.00000000,80491.60000000,80600.00000000,47.64717000
1741901100,80600.00000000,80653.11000000,80592.79000000,80674.54000000,51.19812000
1741901400,80653.11000000,80530.54000000,80490.64000000,80657.16000000,49.84239000
1741901700,80530.54000000,80659.80000000,80530.54000000,80666.22000000,47.19994000
1741902000,80659.80000000,80784.49000000,80644.58000000,80826.27000000,65.87306000
1741902300,80784.49000000,80861.09000000,80784.48000000,80882.65000000,55.03490000
1741902600,80861.08000000,80684.70000000,80669.36000000,80878.45000000,62.19535000
1741902900,80684.70000000,80819.99000000,80684.70000000,80820.00000000,43.24171000
1741903200,80819.99000000,80878.21000000,80730.48000000,80927.99000000,84.45626000
1741903500,80878.21000000,80990.73000000,80877.05000000,81024.28000000,61.11613000
1741903800,80990.72000000,80949.31000000,80905.83000000,80990.72000000,29.89219000
1741904100,80949.31000000,80850.00000000,80850.00000000,80949.31000000,34.49991000
1741904400,80850.00000000,80945.62000000,80831.24000000,80945.62000000,26.58297000
1741904700,80945.62000000,81068.28000000,80923.50000000,81068.94000000,43.18372000
1741905000,81068.29000000,81024.31000000,80982.71000000,81068.94000000,40.04667000
1741905300,81024.32000000,81060.62000000,81009.14000000,81072.61000000,33.25613000
1741905600,81060.62000000,81146.28000000,81059.19000000,81169.82000000,43.64112000
1741905900,81146.28000000,81204.22000000,81146.27000000,81216.99000000,43.32418000
1741906200,81204.22000000,81274.88000000,81178.64000000,81299.15000000,64.24179000
1741906500,81274.89000000,81395.54000000,81274.60000000,81400.00000000,45.91321000
1741906800,81395.54000000,81318.75000000,81274.70000000,81395.54000000,64.16221000
1741907100,81318.74000000,81477.01000000,81318.74000000,81481.15000000,38.17721000
1741907400,81477.02000000,81359.92000000,81325.96000000,81484.23000000,40.70135000
1741907700,81359.92000000,81266.55000000,81265.13000000,81378.77000000,32.42224000
1741908000,81266.55000000,81190.83000000,81167.82000000,81266.56000000,44.68047000
1741908300,81190.83000000,81104.01000000,81094.18000000,81197.08000000,44.95070000
1741908600,81104.01000000,81199.68000000,81081.75000000,81208.84000000,46.20080000
1741908900,81199.68000000,81104.61000000,81100.00000000,81199.68000000,28.30811000
1741909200,81104.61000000,81079.99000000,81046.57000000,81139.20000000,16.69692000
1741909500,81080.00000000,81179.98000000,81079.99000000,81179.98000000,28.74121000
1741909800,81179.98000000,81140.66000000,81092.00000000,81198.73000000,21.83004000
1741910100,81140.57000000,81115.78000000,81086.10000000,81168.20000000,26.51528000
1741910400,81115.78000000,80982.01000000,80953.68000000,81131.62000000,66.66802000
1741910700,80982.01000000,80855.48000000,80855.48000000,81021.59000000,47.54359000
1741911000,80855.49000000,81011.17000000,80818.84000000,81062.74000000,104.99413000
1741911300,81011.17000000,81060.09000000,80905.30000000,81113.82000000,50.64997000
1741911600,81060.09000000,81066.73000000,80953.04000000,81066.73000000,34.76188000
1741911900,81066.72000000,81197.00000000,81053.44000000,81264.16000000,39.94576000
1741912200,81196.99000000,81344.00000000,81196.99000000,81374.78000000,50.94927000
1741912500,81344.01000000,81329.19000000,81265.33000000,81344.01000000,40.99069000
1741912800,81329.19000000,81537.36000000,81329.19000000,81547.17000000,75.13324000
1741913100,81537.35000000,81538.84000000,81389.12000000,81538.85000000,49.61991000
1741913400,81538.84000000,81595.35000000,81538.84000000,81691.39000000,129.72979000
